Магазин,Товар,Translation,Дата,Цена
Small,Картофель,potatoes,2014-02-12,65
Small,Картофель,potatoes,2021-04-13,159
Small,Морковь,carrot,2014-02-12,82
Small,Морковь,carrot,2021-04-13,119
Small,Капуста,cabbage,2014-02-12,64
Small,Капуста,cabbage,2021-04-13,79
Small,Лук,onion,2014-02-12,69
Small,Лук,onion,2021-04-13,79
Magnum,Рис,rice,2014-02-12,149
Magnum,Рис,rice,2021-04-13,249
Magnum,Сливочное масло,butter,2014-02-12,265
Magnum,Сливочное масло,butter,2021-04-13,629
Парад,Сахар,sugar,2014-02-12,128
Парад,Сахар,sugar,2021-04-13,254
Парад,Перловка,pearl barley,2014-02-12,63
Парад,Перловка,pearl barley,2021-04-13,140
METRO,Макароны,pasta,2014-02-12,76
METRO,Макароны,pasta,2021-04-13,284
METRO,Овсянка,oatmeal,2014-02-12,99
METRO,Овсянка,oatmeal,2021-04-13,400
METRO,Подсолнечное масло,sunflower oil,2014-02-12,259
METRO,Подсолнечное масло,sunflower oil,2021-04-13,776
Сары-Арка,Картофель,potatoes,2014-02-12,150
Сары-Арка,Картофель,potatoes,2021-04-13,200
Сары-Арка,Морковь,carrot,2014-02-12,120
Сары-Арка,Морковь,carrot,2021-04-13,200
Сары-Арка,Лук,onion,2014-02-12,100
Сары-Арка,Лук,onion,2021-04-13,200
Magnum,Говяжий фарш,ground beef,2014-02-12,999
Magnum,Говяжий фарш,ground beef,2021-04-13,2430
